,latitude,longtitude
חוף בצת,33.080864250000005,35.106200126265364
חוף נפרד,32.09307905,34.7707712786209
חוף הארגמן ,32.918897,35.079688
חוף ארגמן ,31.9967278,34.7445933
חוף התמרים,32.915081,35.081152
חוף זבולון,32.8489235,35.0615825
חוף ימית,32.8426591,35.0580662
חוף קריית חיים ,32.835034300000004,35.05284363755388
חוף קריית חיים –,32.835034300000004,35.05284363755388
החוף השקט,32.8326093,34.988033312851954
חוף בת גלים –,32.8349209,34.978059069872515
חוף בת גלים- ,32.8349209,34.978059069872515
חוף הכרמל- ,32.80571125,34.955193294427026
חוף הכרמל –,32.80571125,34.955193294427026
חוף דדו ,32.7975116,34.95592041520333
חוף נווה ים,32.6791606,34.9318092
חוף דור –,32.6050313,34.9177119623526
חוף דור – ,32.6050313,34.9177119623526
חוף דור- ,32.6050313,34.9177119623526
חוף גסר,32.5345846,34.90171110575213
חוף קריית צאנז,32.3452076,34.853023536347685
חוף העונות,32.338314749999995,34.85112393940203
חוף ארגמן,31.9967278,34.7445933
חוף פולג,32.258571149999995,34.83969439639287
נוף ים,31.7017973,34.6112841
השרון,32.23527115,34.86782203521899
זבולון,32.8489235,35.0615825
חוף אכדיה ,32.168003999999996,34.79834066398283
חוף הכוכבים,32.4908834,34.9129348
חוף הצוק- ,32.140909300000004,34.79001730016325
חוף הצוק –,32.140909300000004,34.79001730016325
חוף תל ברוך ,32.12209435,34.78292716252854
חוף נורדאו –נפרד,32.09307905,34.7707712786209
הילטון ,32.08984985,34.76956532304862
גורדון,32.08316055,34.76761918851592
פרישמן,32.0804935,34.76670883576811
בוגרשוב,32.077854599999995,34.765786729478634
חוף אביב,32.06962465,34.76302308977622
צרלס קלור,32.0601559,34.75857326794465
יפו- גבעת עליה,32.0389548,34.74515353178799
ירושלים,32.074434249999996,34.76453229487949
הסלע- ,32.6888031,34.9421372
הסלע –,32.6888031,34.9421372
חוף תאיו,32.0073943,34.73477243316465
חוף מי עמי,31.8122044,34.6383752
לידו,31.8080192,34.6365789
אורנים,31.805437,34.635114
חוף הקשתות,31.8004108,34.6324982
בר כוכבא ,31.683334,34.560503
חוף בר כוכבא ,31.683334,34.560503
דלילה- ,31.676253,34.555109
חוף דלילה- ,31.676253,34.555109
ניצנים ,31.7168321,34.634187
זיקים  ,31.609373,34.5221474
חוף גנים ,32.775007,35.5464363
חוף לבנון,32.819809,35.650463
חוף שקמים,32.761799,35.5580251
חוף צינברי,32.736176,35.568793
חוף גופרה,32.802852,35.644832
חוף צאלון,32.221683,34.864123
חוף דוגית,32.851050900000004,35.64792663348478
חוף חמי זוהר ,31.16999015,35.367886807842
